,Diplome,Entreprise,Experience,Technologies,Ville,Metier
2388,msc,Google,1.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Lille,2
2329,no diploma,Brigham & Women's Hospital(BWH),1.0,"['Java', 'Python', 'Linux']",Paris,0
7608,master,Ball Aerospace,2.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
7975,msc,Broad Institute,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lyon,2
4994,phd,Ball Aerospace,1.0,"['R', 'Python', 'SQL', 'Teradata', 'Big data']",Paris,2
1338,msc,Payments & Cards Network,0.0,"['Java', 'Linux', 'GNU', 'Docker']",Nice,1
3461,msc,The College Board,0.0,"['SPSS', 'SQL', 'Teradata', 'R', 'Python', 'Tensorflow', 'scikit-learn']",Paris,2
5173,msc,Merck,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Bordeaux,3
7038,phd,American Express,1.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Strasbourg,2
9244,no diploma,E*TRADE FINANCIAL,6.0,"['ORACLE', 'Java', 'MySQL', 'Linux']",Toulouse,1
2033,master,Pfizer Inc.,5.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Marseille,2
6134,master,Cardinal Solutions,2.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Paris,3
8970,bachelor,Tempus,5.0,"['Spark', 'Python']",Lyon,0
5125,bachelor,Ball Aerospace,2.0,"['Java', 'Linux', 'GNU', 'Docker']",Marseille,1
2100,no diploma,CDK Global,3.0,"['Hadoop(HDFS)', 'Elasticsearch']",Toulouse,0
7405,master,Ball Aerospace,2.0,"['Excel', 'VBA', 'R']",Paris,3
5963,msc,TrueMotion,4.0,"['Spark', 'Python', 'Scala']",Paris,1
3844,bachelor,Ball Aerospace,0.0,"['Spark', 'Python']",Lyon,0
9241,master,Bristol-Myers Squibb,1.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Nantes,2
1487,bsc,Weill Cornell Medicine,1.0,"['R', 'machine learning', 'Excel', 'VBA']",Paris,2
8398,phd,Raindance Partners Recruiting,1.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Paris,3
8164,bachelor,Georgia Tech Research Institute,7.0,"['Linux', 'Python', 'Hadoop', 'Perl', 'Ruby']",Toulon,1
5406,master,Harvard Pilgrim Health Care,2.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Lyon,2
8358,phd,Merck,3.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Marseille,3
7050,phd,"The Cadmus Group, Inc.",2.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Paris,2
758,master,Pragmatics,1.0,"['MongoDB', 'SQL', 'Docker']",Lyon,0
3357,master,HDR,0.0,"['Excel', 'VBA', 'R', 'Python', 'PySpark']",Marseille,2
8530,master,University of Texas at Austin,1.0,"['Hadoop(HDFS)', 'Elasticsearch']",Marseille,0
1171,master,Ball Aerospace,3.0,"['Python', 'Spark', 'Hive', 'Hadoop']",Bordeaux,0
1859,master,The Nerdery,4.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Paris,0
4209,master,KPMG,0.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Paris,2
8057,master,Ball Aerospace,1.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Grenoble,2
554,bachelor,Ball Aerospace,2.0,"['Java', 'C', 'C++', 'R', 'Python']",Lyon,2
8193,bachelor,Emory University,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,3
7894,phd,"Cornerstone Search Group, LLC",1.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Marseille,2
601,master,Charles River Analytics,3.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lyon,2
1601,no diploma,Georgia Tech Research Institute,1.0,"['Hadoop(HDFS)', 'Elasticsearch']",Paris,0
4068,master,AP Staffing,2.0,"['Python', 'Java', 'Scala', 'MongoDB']",Lyon,0
4016,master,Harnham,7.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Montpellier,2
3981,master,Ball Aerospace,3.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Toulouse,1
7191,phd,Ball Aerospace,1.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Lyon,2
9109,phd,Ball Aerospace,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Toulouse,2
6727,phd,Icon plc,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Toulouse,2
6178,master,Ball Aerospace,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Nice,2
8190,master,Wunderman,4.0,"['Python', 'Java', 'Linux', 'GNU']",Nantes,1
927,no diploma,Ball Aerospace,2.0,"['Spark', 'Python', 'Scala']",Paris,1
7663,master,General Electric,1.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Lyon,2
8968,master,Ball Aerospace,1.0,"['Java', 'Python', 'Linux']",Nice,0
9003,master,OBXtek,1.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Marseille,2
4668,master,Ball Aerospace,1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Lyon,2
7795,no diploma,Ball Aerospace,0.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Paris,1
1692,msc,Conversion Logic,2.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Rennes,2
2436,master,A-Line Staffing,6.0,"['Python', 'Java', 'Linux', 'GNU']",Nantes,1
6392,msc,"Joseph J. Blake & Associates, Inc.",2.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,3
6757,master,Burns & McDonnell,1.0,"['ORACLE', 'Java', 'MySQL', 'Linux']",Strasbourg,1
1772,phd,Hopper,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Toulouse,2
5385,phd,Ball Aerospace,4.0,"['Java', 'Python', 'Linux']",Bordeaux,0
7092,master,Ball Aerospace,1.0,"['Cassandra', 'MongoDB', 'NoSQL', 'AWS']",Strasbourg,0
6367,bachelor,The University of Chicago,7.0,"['MongoDB', 'SQL', 'Docker']",Lyon,0
7536,phd,World Resources Institute,1.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Lyon,2
4649,msc,"Elavon, Inc.",1.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Marseille,3
3760,phd,Coyote Logistics,3.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Bordeaux,1
3066,phd,Quantronix Inc,0.0,"['Excel', 'VBA', 'R', 'Python', 'PySpark']",Lyon,2
5747,master,Ball Aerospace,0.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Lyon,2
4185,master,Springer Nature,5.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Bordeaux,2
1640,no diploma,Ball Aerospace,2.0,"['Hadoop(HDFS)', 'Elasticsearch']",Toulouse,0
8907,phd,University of Texas at Austin,5.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Lyon,3
8376,phd,NCSA - Next College Student Athlete,1.0,"['Python', 'Java', 'Linux', 'GNU']",Marseille,1
4170,master,Ball Aerospace,1.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Lyon,1
3493,phd,Ball Aerospace,1.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Bordeaux,3
4556,master,State Street,0.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Lyon,0
535,master,Accenture,1.0,"['Spark', 'Python']",Nantes,0
4430,phd,Ball Aerospace,1.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Lyon,2
8489,no diploma,Wayfair,1.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Nice,1
3088,phd,Ball Aerospace,1.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Bordeaux,2
9192,no diploma,Ball Aerospace,1.0,"['Elasticsearch', 'Kibana', 'Redshift']",Lyon,0
9285,master,Ball Aerospace,4.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lille,1
1848,no diploma,Boston University,0.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lille,1
7629,bachelor,PerkinElmer,5.0,"['Java', 'Python', 'Linux']",Nice,0
3724,msc,University of Texas at Austin,7.0,"['Python', 'Spark', 'GNU', 'Linux']",Marseille,1
8538,master,Burns & McDonnell,1.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Strasbourg,2
429,master,Market Track,3.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Paris,0
5356,msc,Spectrum Brands,1.0,"['Java', 'Linux', 'GNU', 'Docker']",Marseille,1
2753,phd,"Sensory, Inc",1.0,"['Excel', 'VBA', 'R', 'Python', 'PySpark']",Lille,2
6924,phd,"Agilent Technologies, Inc.",2.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,2
9203,master,Ball Aerospace,0.0,"['Java', 'Hadoop', 'HDFS', 'Yarn']",Lille,1
8972,msc,McKesson,2.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Paris,3
6737,msc,Beth Israel Deaconess Medical Center,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Lyon,3
1328,master,Ball Aerospace,0.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Bordeaux,1
2346,master,Ball Aerospace,5.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lille,1
2621,master,Ball Aerospace,1.0,"['Docker', 'GNU', 'Windows', 'Linux', 'Python']",Nantes,0
1814,phd,Ball Aerospace,0.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Lyon,2
8635,no diploma,Vertex Pharmaceuticals,5.0,"['Hadoop(HDFS)', 'Elasticsearch']",Paris,0
7850,bachelor,Beth Israel Deaconess Medical Center,5.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Rouen,2
6969,msc,American Dental Association,3.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
7353,master,Ball Aerospace,3.0,"['MongoDB', 'SQL', 'Docker']",Bordeaux,0
4407,msc,KEYW Corporation,3.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Bordeaux,2
320,bsc,Catapult Sports,1.0,"['VBA', 'Python', 'Excel', 'R']",Marseille,2
6248,msc,Jacobs,0.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Nice,0
9020,phd,McKinsey & Company,1.0,"['VBA', 'Python', 'Excel', 'R']",Marseille,2
6639,phd,State Street,8.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Nice,3
8434,master,Merck,3.0,"['SPSS', 'SQL', 'Teradata', 'R', 'Python', 'Tensorflow', 'scikit-learn']",Rennes,2
9343,master,Ball Aerospace,0.0,"['VBA', 'Python', 'Excel', 'R']",Paris,2
5905,phd,The Home Depot,3.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Marseille,2
2334,master,McKinsey & Company,5.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Marseille,2
9262,bachelor,Ball Aerospace,0.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Toulouse,1
5818,master,Indigo,5.0,"['Python', 'Spark', 'GNU', 'Linux']",Bordeaux,1
5931,bachelor,Ball Aerospace,8.0,"['MongoDB', 'SQL', 'Docker']",Bordeaux,0
1145,master,Honeywell,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,3
8496,master,McKinsey & Company,2.0,"['Spark', 'Python']",Bordeaux,0
6826,master,Intent Media,2.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,2
4319,msc,Ball Aerospace,2.0,"['Python', 'Tensorflow', 'R', 'Big data']",Paris,2
3888,phd,University of Texas at Austin,2.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Marseille,3
2911,master,TrueMotion,6.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,3
1419,bachelor,"Seres Therapeutics, Inc.",1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Paris,2
218,bsc,Tendril,3.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Bordeaux,3
2625,phd,SparkCognition,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Rouen,2
7268,master,"Kleinfelder, Inc.",3.0,"['Python', 'Tensorflow', 'R', 'Big data']",Lille,3
4958,master,Ball Aerospace,6.0,"['Java', 'Linux', 'GNU', 'Docker']",Marseille,1
4196,master,Harvard Pilgrim Health Care,5.0,"['Excel', 'VBA', 'R']",Toulouse,2
4282,phd,HDR,9.0,"['Java', 'C', 'C++', 'R', 'Python']",Rouen,2
5002,bachelor,Ball Aerospace,0.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,2
6695,phd,Investigative Company,4.0,"['MariaDB', 'MongoDB', 'NoSQ', 'SQL', 'Hadoop', 'Hive']",Marseille,1
2249,bsc,Capgemini,5.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Paris,1
2166,phd,DataRobot,0.0,"['VBA', 'Python', 'Excel', 'R']",Nice,2
5649,master,Broad Institute,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Lyon,2
5730,bsc,TCGplayer,1.0,"['VBA', 'Python', 'Excel', 'R']",Paris,2
2279,master,Draper,3.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Marseille,2
8670,master,Ball Aerospace,7.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Rouen,1
3351,phd,"GlobalLogic, Inc.",1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Toulouse,2
4244,master,Decision Resources Group,1.0,"['VBA', 'Python', 'Excel', 'R']",Lille,2
7819,bachelor,General Electric,3.0,"['Docker', 'GNU', 'Windows', 'Linux', 'Python']",Toulouse,0
8328,master,DataRobot,4.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Paris,3
1922,master,Ball Aerospace,3.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Strasbourg,3
6976,msc,Ball Aerospace,3.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Nantes,2
8859,phd,Mintel Group,1.0,"['Python', 'Java', 'Linux', 'GNU']",Paris,1
4821,phd,Amazon.com,1.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Lille,2
382,master,Harnham,8.0,"['SQL', 'R', 'Python', '', 'Big data']",Montpellier,3
8904,msc,National Instruments,2.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Paris,3
1495,master,Splunk,0.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Toulouse,1
9309,phd,Ball Aerospace,5.0,"['Hadoop', 'Hive', 'SQL', 'MariaDB']",Paris,1
1267,master,Ball Aerospace,3.0,"['Python', 'Spark', 'Hive', 'Hadoop']",Rennes,0
2332,msc,Pharmerit International,1.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Toulouse,3
5669,master,Ball Aerospace,0.0,"['ORACLE', 'Java', 'MySQL', 'Linux']",Lyon,1
9234,msc,Ball Aerospace,1.0,"['Python', 'Java', 'Scala', 'MongoDB']",Paris,0
3647,phd,Amazon.com,0.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Lille,2
745,phd,Rent the Runway,0.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Grenoble,2
7280,no diploma,Dana-Farber Cancer Institute,1.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Lyon,0
5496,master,Amazon.com,4.0,"['Excel', 'VBA', 'R']",Montpellier,2
6785,master,Ball Aerospace,3.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lille,1
7808,msc,Ball Aerospace,0.0,"['Spark', 'Python', 'Scala']",Marseille,1
1953,no diploma,Accenture,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Lille,0
109,bachelor,Rubius Therapeutics,1.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Marseille,2
5530,master,Twitter,3.0,"['Python', 'Pyspark', 'Spark']",Toulon,1
3414,phd,Wayfair,2.0,"['ORACLE', 'Java', 'MySQL', 'Linux']",Paris,1
8484,phd,Jobspring Partners,0.0,"['Hadoop(HDFS)', 'Elasticsearch']",Paris,0
8518,phd,Emory University,0.0,"['Elasticsearch', 'Kibana', 'Redshift']",Toulon,0
6442,msc,Indigo,2.0,"['Excel', 'VBA', 'R']",Lyon,2
5124,master,Darwin Recruitment,2.0,"['ORACLE', 'Java', 'MySQL', 'Linux']",Rennes,1
2118,phd,UCAR,3.0,"['Excel', 'VBA', 'R']",Lyon,3
9420,bachelor,University of Colorado,2.0,"['R', 'Python', 'Spark', 'Pycharm', 'SAS', 'SQL']",Paris,2
4133,bachelor,Ball Aerospace,0.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Paris,0
2990,phd,Booz Allen Hamilton,7.0,"['C', 'C++', 'Java', 'Python']",Marseille,2
5825,bachelor,Commonwealth Sciences,3.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Lyon,3
5887,master,Ball Aerospace,0.0,"['Spark', 'Python', 'Scala']",Montpellier,1
4127,master,Ball Aerospace,0.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Lille,0
7898,bachelor,Ball Aerospace,0.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Bordeaux,2
346,no diploma,Ball Aerospace,4.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Paris,1
3273,no diploma,Ball Aerospace,5.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Marseille,0
6839,master,Ball Aerospace,3.0,"['R', 'machine learning', 'Excel', 'VBA']",Toulouse,2
3907,phd,The Home Depot,1.0,"['C', 'C++', 'Java', 'Python']",Paris,2
2708,msc,McKinsey & Company,2.0,"['Python', 'Spark', 'GNU', 'Linux']",Paris,1
5429,phd,Lab126,0.0,"['R', 'machine learning', 'Excel', 'VBA']",Lyon,2
6425,msc,AllianceBernstein,0.0,"['R', 'machine learning', 'Excel', 'VBA']",Lyon,2
1095,msc,Ball Aerospace,0.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Paris,0
1988,master,Delos,1.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Toulouse,2
2623,master,Fooda,0.0,"['Java', 'Linux', 'Docker']",Lyon,0
6500,no diploma,Rush University Medical Center,1.0,"['Cassandra', 'MongoDB', 'NoSQL', 'AWS']",Lyon,0
8954,no diploma,VHB,1.0,"['Python', 'Java', 'Linux', 'GNU']",Paris,1
5508,msc,Bed Bath & Beyond,9.0,"['SQL', 'R', 'Python', '', 'Big data']",Toulouse,2
1933,no diploma,Ball Aerospace,1.0,"['Python', 'Java', 'Scala', 'MongoDB']",Lyon,0
6333,phd,Maven Wave Partners,0.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Paris,1
4031,msc,DNAnexus,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Marseille,2
7669,master,xentity corporation,1.0,"['Docker', 'GNU', 'Windows', 'Linux', 'Python']",Nantes,0
8105,phd,Chewy,2.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Rennes,2
8620,bachelor,The Climate Corporation,2.0,"['SQL', 'R', 'Python', '', 'Big data']",Nantes,2
8805,phd,Emory University,2.0,"['Matlab', 'Python', 'C++', 'numpy', 'Tensorflow', 'scikit-learn']",Rennes,2
1,master,Massachusetts General Hospital(MGH),3.0,"['Python', 'Java', 'Scala', 'MongoDB']",Marseille,0
6975,master,Ball Aerospace,2.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Strasbourg,3
7414,bachelor,Capgemini,1.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Marseille,3
1013,no diploma,Celect,1.0,"['Python', 'AWS', 'Docker']",Lyon,0
1884,msc,Vertex,8.0,"['Spark', 'Python']",Paris,0
620,bachelor,Boston Medical Center (BMC),8.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Toulon,3
5615,bachelor,Georgia Tech Research Institute,0.0,"['ORACLE', 'Java', 'MySQL', 'Linux']",Marseille,1
5010,master,Ball Aerospace,3.0,"['Hadoop', 'Perl', 'GNU', 'Linux']",Paris,0
2511,msc,Amazon.com,1.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Nantes,2
5176,phd,McKinsey & Company,7.0,"['Python', 'Tensorflow', 'R', 'Big data']",Lille,2
3484,master,Brigham & Women's Hospital(BWH),2.0,"['Excel', 'VBA', 'R']",Toulouse,2
7249,no diploma,SparkCognition,2.0,"['Python', 'Spark', 'GNU', 'Linux']",Marseille,1
67,master,Total Systems Technologies Corporation,1.0,"['Cassandra', 'MongoDB', 'NoSQL', 'AWS']",Paris,0
5210,bachelor,Ball Aerospace,3.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,2
3401,phd,IDEO,1.0,"['Matlab', 'Python', 'Pyspark', 'Scikit-learn', 'Tensorflow']",Marseille,2
1312,phd,CBRE,1.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Lyon,2
2883,msc,Array Architects Inc,0.0,"['Python', 'Spark', 'GNU', 'Linux']",Bordeaux,1
4906,bachelor,National Ecological Observatory Network Inc,5.0,"['Python', 'Hadoop', 'Kafka', 'AWS']",Marseille,0
1806,master,SunTrust,3.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Paris,1
5266,master,Ball Aerospace,1.0,"['Hadoop', 'Hive', 'Vertica', 'Tableau']",Lyon,0
2600,bsc,Ball Aerospace,1.0,"['SPSS', 'SQL', 'Teradata', 'R', 'Python', 'Tensorflow', 'scikit-learn']",Lille,2
1632,no diploma,Locke Careers,2.0,"['Java', 'Linux', 'GNU', 'Docker']",Lyon,1
8521,no diploma,Newell Brands,1.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
6792,phd,Trunk Club,0.0,"['Python', 'Tensorflow', 'R', 'Big data']",Paris,2
9092,phd,Ledcor,5.0,"['R', 'Python', 'Hadoop', 'Hive', 'SQL']",Lyon,3
6554,master,Ball Aerospace,3.0,"['Map-Reduce', 'HDFS', 'PIG', 'HBASE', 'Python', 'Cassandra']",Lille,1
7493,phd,Ball Aerospace,1.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Toulouse,2
2266,master,Ball Aerospace,0.0,"['Python', 'R', 'machine learning', 'Excel', 'VBA', 'C++']",Lyon,2
5473,master,Ball Aerospace,0.0,"['Excel', 'Python', 'Matlab', 'R', 'machine learning', 'anglais']",Strasbourg,2
7783,master,Ball Aerospace,3.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Paris,2
8918,no diploma,Akuna Capital,1.0,"['Python', 'Java', 'Scala', 'MongoDB']",Marseille,0
6984,bachelor,Blueprint Medicines,2.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Paris,2
2617,master,National instrument,1.0,"['Java', 'Linux', 'GNU', 'Docker']",Toulouse,1
6864,phd,Nucleus Research,0.0,"['Python', 'Microsoft Azure', 'R', 'SQL']",Paris,2
3093,phd,Tempus,3.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Paris,2
8371,msc,Ball Aerospace,3.0,"['Python', 'Spark', 'Hive', 'Hadoop']",Nantes,0
2014,master,ICF,1.0,"['R', 'Python', 'SQL', 'NoSQL', 'MongoDB']",Lille,2
6759,phd,Georgia Tech Research Institute,1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Lyon,2
2428,master,Ball Aerospace,3.0,"['Java', 'Linux', 'Docker']",Marseille,0
2518,msc,Eagle Medical Services,1.0,"['Matlab', 'C', 'C++', 'Python', 'Scikit-learn']",Marseille,3
5699,master,Soroco,4.0,"['Docker', 'PostgreSQL', 'Elasticsearch', 'Kibana', 'MongoDB']",Paris,1
898,master,JD.com,2.0,"['R', 'machine learning', 'Excel', 'VBA']",Paris,2
1577,master,Fidelity Investments,4.0,"['Docker', 'GNU', 'Windows', 'Linux', 'Python']",Marseille,0
4629,master,Ball Aerospace,5.0,"['Python', 'Tensorflow', 'R', 'Big data']",Lyon,2
3200,phd,The Home Depot,0.0,"['Python', 'Pyspark', 'Spark']",Paris,1
4892,master,Darwin Recruitment,0.0,"['MongoDB', 'MariaDB', 'Python', 'Docker']",Marseille,1
1096,master,Androcles-Group,2.0,"['Python', 'Tensorflow', 'scikit-learn', 'Deep learning', 'R']",Lyon,2
2728,phd,Ball Aerospace,3.0,"['AWS', 'Python', 'C', 'C++', 'Docker']",Paris,1
6811,phd,Akuna Capital,1.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Bordeaux,2
4337,phd,Gemological Institute of America,1.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Strasbourg,2
1473,master,Broad Institute,1.0,"['Python', 'Tensorflow', 'R', 'Big data']",Paris,2
8061,bachelor,Kantar Millward Brown,2.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Lille,2
4613,master,Clarity Insights,3.0,"['Java', 'AWS', 'Elasticsearch', 'Kibana']",Lyon,0
401,master,Ball Aerospace,1.0,"['SQL', 'R', 'Python', '', 'Big data']",Paris,2
2877,master,Dyson,3.0,"['Python', 'Spark', 'GNU', 'Linux']",Marseille,1
2374,master,LEWIS,5.0,"['Java', 'Python', 'Linux']",Montpellier,0
3239,no diploma,TUFTS University,7.0,"['MariaDB', 'MongoDB', 'NoSQ', 'SQL', 'Hadoop', 'Hive']",Paris,1
1262,bachelor,National Oilwell Varco,0.0,"['Elasticsearch', 'Kibana', 'MongoDB']",Lyon,1
5812,master,SunTrust,1.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Marseille,2
728,phd,Ball Aerospace,8.0,"['Java', 'C', 'C++', 'R', 'Python']",Paris,3
9465,phd,Northeastern University,2.0,"['Python', 'Pyspark', 'machine learning', 'Microsoft Azure']",Toulouse,2
1377,master,Shire Pharmaceuticals,3.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Lyon,2
2481,master,"Kleinfelder, Inc.",0.0,"['C', 'C++', 'Java', 'Python', 'Linux']",Marseille,1
8278,phd,Zingbox,2.0,"['C++', 'R', 'Python', 'Matlab', 'Matplotlib']",Paris,2
4598,master,Novi Labs,2.0,"['Python', 'Java', 'Scala', 'MongoDB']",Grenoble,0
5071,phd,Ball Aerospace,2.0,"['Python', 'R', 'Spark', 'Hadoop', 'SQL']",Marseille,2
1545,master,Celect,2.0,"['SAS', 'Teradata', 'SQL', 'R', 'Python', 'Machine learning', 'Anglais']",Marseille,3
8963,msc,BNY Mellon,0.0,"['Python', 'Spark', 'GNU', 'Linux']",Bordeaux,1
1688,msc,Ball Aerospace,2.0,"['SPSS', 'Excel', 'SAS', 'R', 'machine learning', 'AI', 'Scoring']",Toulouse,3
